N° Client;Raison social;Civilité;Responsable;Rue;CP;Ville;CA 2014;Représentant;Tel;date du dernier achat;Type de client;Date de relance commerciale;Nombre de jour(s) de retard;Réduction 1;Réduction 2
411001;HABBE SA;Monsieur;Habbe Luc;4 rue des Hirondelles;13000;MARSEILLE;42 282 €;PILLON;03-80-66-62-09;04/06/15;Très bon client;02/09/15;68;5,00%;5,00%
411002;AERTUS SARL;Madame;Pincherl Luce;1 chemin des croisés;26000;VALENCE;4 164 €;GOUTAL;03-81-21-93-12;08/09/15;;07/12/15;;;
411003;RIPERT SA;Monsieur;Ribert Pierre;2 rue du Maine;13000;MARSEILLE;42 136 €;PILLON;03-83-15-43-24;12/06/15;Très bon client;10/09/15;60;5,00%;5,00%
411004;;Madame;Boyou Nelly;14  place Lafayette;38000;GRENOBLE;27 814 €;BOILOT;03-88-11-60-03;15/12/14;Bon client;14/04/15;209;3,00%;3,00%
411005;FFV;Madame;Saano Lucie;2 rue A. Camus;13000;MARSEILLE;32 599 €;PILLON;01-42-34-80-52;02/10/15;Très bon client;31/12/15;;5,00%;10,00%
411006;;Monsieur;Prodon Fidel;Chemin des aluèges;26000;VALENCE;29 072 €;GOUTAL;01-49-36-73-57;15/09/15;Bon client;13/01/16;;3,00%;6,00%
411007;C4I SA;Monsieur;Odin Paul;34 rue du Commerce;69000;LYON;25 210 €;FRANGIN;01-39-27-42-58;15/02/15;Bon client;15/06/15;147;3,00%;3,00%
411008;GAROD SA;Monsieur;Garod Jean;Place des Célestins;38000;GRENOBLE;31 289 €;BOILOT;01-44-49-52-54;19/08/15;Très bon client;17/11/15;;5,00%;10,00%
411009;ERIER SARL;Madame;Pongier Camille;4 rue de Narvik;13000;MARSEILLE;18 077 €;PILLON;01-46-33-68-67;20/04/15;;19/07/15;113;;
411010;;Monsieur;Daou Louis;5 rue des Verts près;13000;MARSEILLE;33 397 €;PILLON;01-42-38-92-88;25/12/14;Très bon client;25/03/15;229;5,00%;5,00%
411011;;Monsieur;Zebrige Jean;4 rue JP Sartre;38000;GRENOBLE;39 142 €;BOILOT;01-49-28-20-25;17/04/15;Très bon client;16/07/15;116;5,00%;5,00%
411012;SFMP SA;Monsieur;Rissout Luc;5 rue V. Hugo;26000;VALENCE;13 881 €;GOUTAL;01-42-16-16-83;25/05/15;;23/08/15;78;;
411013;;Monsieur;Cevrat Louis;75 rue des eaux;38000;GRENOBLE;15 763 €;BOILOT;01-45-21-28-46;30/04/15;;29/07/15;103;;
411014;SNR SA;Monsieur;Verier Louis;15 rue Royale;69000;LYON;4 057 €;FRANGIN;01-49-09-58-14;17/02/15;;18/05/15;175;;
411015;MAGA SA;Monsieur;Maga Paul;345 place du Roi;38000;GRENOBLE;33 920 €;BOILOT;01-49-81-22-61;29/06/15;Très bon client;27/09/15;43;5,00%;5,00%
411016;DALOCHE SA;Monsieur;Daloche Jean;34 rue St Marc;26000;VALENCE;26 164 €;GOUTAL;02-32-88-84-46;01/06/15;Bon client;29/09/15;41;3,00%;3,00%
411017;VERDOT SA;Madame;Verdot Louise;4 Rue Boileau;38000;GRENOBLE;40 447 €;BOILOT;03-22-66-85-43;13/11/15;Très bon client;11/02/16;;5,00%;10,00%
411018;;Madame;Perrin Sara;34 rue C. Perles;13000;MARSEILLE;17 984 €;PILLON;09-64-08-19-44;21/07/15;;19/10/15;21;;
411019;SALOMON SARL;Madame;Verchet Luce;3 place Tochon;69000;LYON;10 438 €;FRANGIN;03-20-44-41-65;12/11/15;;10/02/16;;;
411020;TOFAL SA;Monsieur;Somière Jean;45 route de la Grève;69000;LYON;42 945 €;FRANGIN;02-47-47-82-21;19/03/15;Très bon client;17/06/15;145;5,00%;5,00%
411021;BLE D'OR;Madame;Standoz Régine;34 les Verdots;69000;LYON;7 181 €;FRANGIN;02-41-35-52-15;27/03/15;;25/06/15;137;;
411002;AERTUS SARL;Madame;Pincherl Luce;1 chemin des croisés;26000;VALENCE;3 769 €;GOUTAL;03-81-21-93-12;20/11/15;;18/02/16;;;
411004;;Madame;Boyou Nelly;14  place Lafayette;38000;GRENOBLE;25 262 €;BOILOT;03-88-11-60-03;24/11/15;Bon client;23/03/16;;3,00%;6,00%
411014;SNR SA;Monsieur;Verier Louis;15 rue Royale;69000;LYON;39 587 €;FRANGIN;01-49-09-58-14;20/09/15;Très bon client;19/12/15;;5,00%;10,00%
411005;FFV;Madame;Saano Lucie;2 rue A. Camus;13000;MARSEILLE;7 352 €;PILLON;01-42-34-80-52;10/02/15;;11/05/15;182;;
411003;RIPERT SA;Monsieur;Ribert Pierre;2 rue du Maine;13000;MARSEILLE;5 868 €;PILLON;03-83-15-43-24;18/04/15;;17/07/15;115;;
411019;SALOMON SARL;Madame;Verchet Luce;3 place Tochon;69000;LYON;17 183 €;FRANGIN;03-20-44-41-65;01/06/15;;30/08/15;71;;
411021;BLE D'OR;Madame;Standoz Régine;34 les Verdots;69000;LYON;42 241 €;FRANGIN;02-41-35-52-15;28/03/15;Très bon client;26/06/15;136;5,00%;5,00%
411018;;Madame;Perrin Sara;34 rue C. Perles;13000;MARSEILLE;37 204 €;PILLON;09-64-08-19-44;17/09/15;Très bon client;16/12/15;;5,00%;10,00%
411007;C4I SA;Monsieur;Odin Paul;34 rue du Commerce;69000;LYON;25 508 €;FRANGIN;01-39-27-42-58;17/09/15;Bon client;15/01/16;;3,00%;6,00%
411016;DALOCHE SA;Monsieur;Daloche Jean;34 rue St Marc;26000;VALENCE;33 684 €;GOUTAL;02-32-88-84-46;25/05/15;Très bon client;23/08/15;78;5,00%;5,00%
411015;MAGA SA;Monsieur;Maga Paul;345 place du Roi;38000;GRENOBLE;18 121 €;BOILOT;01-49-81-22-61;12/03/15;;10/06/15;152;;
411017;VERDOT SA;Madame;Verdot Louise;4 Rue Boileau;38000;GRENOBLE;34 554 €;BOILOT;03-22-66-85-43;28/09/15;Très bon client;27/12/15;;5,00%;10,00%
411009;ERIER SARL;Madame;Pongier Camille;4 rue de Narvik;13000;MARSEILLE;3 895 €;PILLON;01-46-33-68-67;14/08/15;;12/11/15;;;
411001;HABBE SA;Monsieur;Habbe Luc;4 rue des Hirondelles;13000;MARSEILLE;12 184 €;PILLON;03-80-66-62-09;16/08/15;;14/11/15;;;
411011;;Monsieur;Zebrige Jean;4 rue JP Sartre;38000;GRENOBLE;20 062 €;BOILOT;01-49-28-20-25;03/05/15;Bon client;31/08/15;70;3,00%;3,00%
411020;TOFAL SA;Monsieur;Somière Jean;45 route de la Grève;69000;LYON;42 835 €;FRANGIN;02-47-47-82-21;08/07/15;Très bon client;06/10/15;34;5,00%;5,00%
411010;;Monsieur;Daou Louis;5 rue des Verts près;13000;MARSEILLE;33 014 €;PILLON;01-42-38-92-88;03/05/15;Très bon client;01/08/15;100;5,00%;5,00%
